product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,makeuplovercici,Insider,Rookie,"['Eye Color Green', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Normal']",5 stars,3 d ago,yes,,,Love!! So pigmented and pretty,The colours are so vibrant and don’t smudge easily! Very creamy and glide on.,0,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,pimpledred,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Oily']",5 stars,14 d ago,no,,,best ever,"Love these so much. Easy to use, stays on all day, look incredible. Super pigmented and smooth to apply. Great on their own as a creme shadow or as a base. Does not crease on my greasy hooded eyes. I’d stock up on more but there’s so much product in each of these tubes and creme products don’t store as well as powder.",2,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,SusieQ822,,,"['Eye Color Blue', 'Hair color Blonde', 'Skin Tone Light', 'Skin Type Combination']",5 stars,22 d ago,no,,,,I was so pleasantly surprised by these ! I use them in my waterline and they do not budge or fade without a real deal makeup remover .,9,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,weirdrevolution,VIB,Rookie,"['Eye Color Blue', 'Hair color Auburn', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,25 d ago,no,,,,These are awesome! You get a ton of product in each crayon. They glide effortlessly- super easy to apply and blend. Super happy with these- I wish there were more colors!,0,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,stellasmommy04,Rouge,Rookie,"['Age 25-34', 'Eye Color Brown', 'Hair color Black', 'Skin Tone Medium', 'Skin Type Combination']",5 stars,24 Apr 2020,no,,,Fantastic!,Super vivid! The colors stay put and look gorgeous. The blue is not meant for the lips and pink/orange don't go on the eyes according to the package. They are one swipe and creamy.,5,1,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,raeistheway,VIB,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Combination']",5 stars,15 Apr 2020,yes,,,,"The pigment is amazing - I do wish that they were pointed for easier drawing, but the color can't be beat!",3,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,CLouLou,VIB,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Combination']",5 stars,13 Apr 2020,yes,,,They’re fantastic!,"These are awesome! They’re much bigger then I’d expected and SO easy to use. It takes no time to put on and save me a nice amount of time when I use these instead of shadows or different liners... They’re the exact same shade and brightness as the color indicators on each crayon... They last all day, and come off with ease whenever I take off my makeup. I love these. I’ve used them every day since they arrived.
…read more",6,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,iabou,Insider,Rookie,"['Eye Color Blue', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Oily']",5 stars,28 Mar 2020,no,,,bright! gets attention!,Wonderful. I get lots of compliments. Makes your face pop!,18,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,Marietta13,Insider,Rookie,"['Eye Color Hazel', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,12 Mar 2020,no,,,smooth and bright,The colors are so bright. I love the bright pigments. It goes on super smooth and lasts all day.,6,0,Recommends this product
blush,KVD VEGAN BEAUTY,KVD Vegan Beauty Crush - Technicolor Crayon Set,AleMoon,VIB,Rookie,"['Age over 54', 'Eye Color Brown', 'Hair color Auburn', 'Skin Tone Tan', 'Skin Type Dry']",5 stars,6 Mar 2020,no,,,Beautiful and quality product.,This are beautiful. Really bright creamy colors. Good for mouth and eyes.,3,1,Recommends this product
