product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,sallyport,Insider,Rookie,"['Eye Color Hazel', 'Hair color Gray', 'Skin Tone Light', 'Skin Type Dry']",1 star,11 d ago,yes,,,Not for me.,Very disappointed especially given the price. Very dry....I'm 62 and was hoping it would glide and blend easier. I'm returning.,0,0,
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,Brownsugatay,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Dark', 'Skin Type Combination']",4 stars,13 d ago,no,,,Nice Trio,"Beautiful neutral colors. And goes on smoothly. Cute mirror inside the lid of the car, too.",1,0,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,Rudiwilhoite,VIB,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Light', 'Skin Type Oily']",5 stars,16 d ago,no,,,GREAT SAMPLER,This is the perfect way to test Nudestix and their array of products. Loved them all!,0,0,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,Megan0122,Insider,Rookie,"['Eye Color Green', 'Hair color Blonde', 'Skin Tone Light', 'Skin Type Dry']",4 stars,25 d ago,no,,,Love!,"Perfect for dry skin, melt into foundation and are easy to blend. I don’t think they last all day, but are very pretty and dewy when applied! Love the shades available and give a “natural” look!",1,0,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,ayishaq,Rouge,Rookie,"['Age 35-44', 'Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Normal']",3 stars,23 Apr 2020,no,,,need a magnifying glass to find the products,love the product. not even my first purchase ... the colours are lovely. but SO disappointed with the size!! those are minuscule products!! I wouldn't give these to my 3 year old niece!!,6,0,
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,MDerksen,,,"['Eye Color Hazel', 'Hair color Black', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,20 Apr 2020,no,,,,I am obsessed with nudestix. This set is a great intro or travel set. Great colours and I love the creamy texture and long wear. These can be used in so many ways and I recommend all the nudies to anyone who will listen.,1,0,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,aangelinaajo,Insider,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Combination']",3 stars,19 Apr 2020,yes,,,Great but...,"Love the product! But can be a little too dewy and make you a little oily! Also can lose pigment throughout day! I still love it but one of the big things for me was that my sunkissed had broken off, and I hadn’t applied force! Kind of a bummer, still can work but can fall out",4,1,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,lexlivia,Rouge,Rookie,"['Eye Color Hazel', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Oily']",4 stars,19 Apr 2020,no,,,"perfect for travel, probably best for medium skin","Such a fun little set, perfect for travel. I’m fair and this was just not for me tho. The darkest shade is perfect for lips and eyes, but way too deep for my cheeks.",2,0,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,maria108,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Dry']",4 stars,19 Apr 2020,no,,,"Nice product, get the full size.",I like these products a lot. I have many of the full sized blushes in particular. The problem I have with these is just the size. I would recommend getting the full sized as the size really makes application easy. I don’t like applying from the small stick. If you don’t think the size would bother you it’s nice to get three shades for this price.,1,0,Recommends this product
blush,NUDESTIX,NUDESTIX Mini Nudies 3-Piece Kit,AmyGreuel,VIB,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium']",3 stars,18 Apr 2020,yes,,,Misleading,"I was expecting a blush, a bronzer, and a highlighter. If you are expecting the same you will be disappointed! The ""bronzer"" is simply a darker blush color and the highlighter is much darker than it appears. The packaging is definitely misleading!",22,0,
