product_category,brand,product_name,user_id,BIP_level,BIC_level,user_specs,rating,review_date,verified,review_color,review_color_img,review_title,review_content,no_helpful,no_not_helpful,recommendation
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,TDWinOH,VIB,Rookie,"['Eye Color Hazel', 'Hair color Gray', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,7 Dec 2019,no,Color: Twilight Hour,https://www.sephora.com/productimages/sku/s2136406+sw.jpg,"Oh, yes!",This is the most beautiful color I have worn in years! And it lasted all day. I have been waiting (impatiently) for Shiseido to add a color line for years. I am hooked!,6,0,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,maknicoleborch,Rouge,Rookie,"['Eye Color Green', 'Hair color Brunette', 'Skin Tone Fair', 'Skin Type Dry']",3 stars,27 Oct 2019,yes,Color: Twilight Hour,https://www.sephora.com/productimages/sku/s2136406+sw.jpg,not impressed,"Returned item. I expected a beautiful glow finish like the swatch but it was just a very average color and pigmentation. The packaging and size of this product was very disappointing as well, even after reading the other reviews and having been prepared. (Was worse than even expected) sad but on a side not tried the hourglass ghost edit blush quad after this and it gave me just the glow I needed",4,0,
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,Travlingirl,Rouge,Rookie,"['Age over 54', 'Eye Color Hazel', 'Hair color Auburn', 'Skin Tone Fair', 'Skin Type Dry']",5 stars,13 Sep 2019,no,Color: Solar Haze,https://www.sephora.com/productimages/sku/s2136414+sw.jpg,Love this....,I have been searching for a blusher/highlighter combo....I am a lady “of a certain age” so I didn’t want a dark color or a super shiny highlighter. This lovely Shishedo blush is perfect for my fair complexion.,3,1,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,luvmakeup4er,Rouge,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Olive', 'Skin Type Oily']",5 stars,20 Aug 2019,no,Color: Solar Haze,https://www.sephora.com/productimages/sku/s2136414+sw.jpg,nice color and easy to use,"Beautiful, natural and easy to use. I love this blush. I love how natural it looks. It lasts and looks great on.",1,0,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,curlypalechic,Rouge,Rookie,"['Eye Color Blue', 'Hair color Blonde', 'Skin Tone Porcelain', 'Skin Type Combination']",4 stars,11 Jun 2019,no,Color: Twilight Hour,https://www.sephora.com/productimages/sku/s2136406+sw.jpg,"lovely, but missing luxury aesthetic","I love this formula, it’s so silky and easy to blend, and the colors in the wider collection. I will say the Twilight looks more like the it does in the pan picture than in the swatch picture (I don’t think you could get it that pink), it’s like a less reflective and slightly peachier Nars Orgasm. It definitely has this lovely glow from within quality without adding any satin or shimmer finishes. My only complaint is that this is a very tiny amount of blush, and it’s not very hard pressed so it’s a bit more powdery and you use more product that in a Dior or Hourglass baked-like formula. I’m also not a fan of the packaging, which kind of comes across like I’ll-fitting/ matches cardboard and not very luxury. Also please note that while this is cheaper than other luxury brand blushes, it’s actually roughly 1/2 the size :(
…read more",7,0,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,katehanni,Rouge,Rookie,"['Eye Color Blue', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Dry']",1 star,21 May 2019,no,Color: Twilight Hour,https://www.sephora.com/productimages/sku/s2136406+sw.jpg,"Twilight Hour, no shimmer for me","I was expecting shimmer with this blush, but mine has zero shimmer. Very disappointed.",1,4,
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,Babydollvic,Insider,Rookie,"['Eye Color Brown', 'Hair color Brunette', 'Skin Tone Medium', 'Skin Type Normal']",5 stars,13 Mar 2019,no,Color: Twilight Hour,https://www.sephora.com/productimages/sku/s2136406+sw.jpg,Beautiful Blush,The Twilight Hour is a really pretty shade. It goes on really pretty and stays all day. I finally found a blush I love.,0,0,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,DrHeatherPHD,Rouge,Rookie,"['Eye Color Hazel', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,25 Jan 2019,no,Color: Solar Haze,https://www.sephora.com/productimages/sku/s2136414+sw.jpg,"Beautiful, multipurpose powder!","I purchased this on a whim, and I’m so glad I did! It’s beautiful, long lasting, and easy to work with. It seems that some reviewers are under the mistaken impression that these are blushes. They are not. The only two that would work as a blush, on most skin tones, are Twilight Hour and Berry Dawn. Solar Haze is a great blush topper, lid color, and highlight. It has just a hint of a peachy base color that gives your a healthy glowing flush to your skin. Shimmering Champagne is beautiful too. It has almost no base color, so it can be enjoyed by almost everyone. If you read the description, and know what you’re purchasing, you won’t be disappointed.
…read more",9,1,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,theglamlifebaby,Insider,Rookie,"['Eye Color Brown', 'Hair color Black', 'Skin Tone Olive', 'Skin Type Oily']",4 stars,25 Oct 2018,no,Color: Solar Haze,https://www.sephora.com/productimages/sku/s2136414+sw.jpg,Gorgeous glow to the face,When I saw this in the store I had to try it on. This color is a beautiful peachy gold I just had the perfect color to your face. I gave me a youthful glow and set so nicely on the skin. I love this formula and thought the color selection was very beautiful,3,0,Recommends this product
blush,SHISEIDO,Shiseido Inner Glow Cheek Powder Blush & Highlighter,Beautyinfaith84,Insider,Rookie,"['Eye Color Hazel', 'Hair color Blonde', 'Skin Tone Fair', 'Skin Type Combination']",5 stars,23 Oct 2018,no,Color: Twilight Hour,https://www.sephora.com/productimages/sku/s2136406+sw.jpg,Yes!!,I was blown away by blush. It applies so smoothly over my makeup and was easy to blend. It has the perfect amount of pigment for that pop of color. The shad Twilight Hour is the PERFECT corally pink color for fair skinned women like me. Highly recommend!,4,0,Recommends this product
