product_name,product_link
Dior Rouge Dior Lipstick,https://www.sephora.com/product/rouge-dior-lipstick-P411036?icid2=products%20grid:p411036
Marc Jacobs Beauty Le Marc Lip Frost Lipstick,https://www.sephora.com/product/le-marc-lip-frost-lipstick-P439432?icid2=products%20grid:p439432
Guerlain Rouge G Customizable Lipstick,https://www.sephora.com/product/rouge-g-customizable-lipstick-bullet-P429915?icid2=products%20grid:p429915
Charlotte Tilbury Hot Lips Lipstick,https://www.sephora.com/product/hot-lips-lipstick-P434100?icid2=products%20grid:p434100
Guerlain Rouge G Customizable Lipstick Case,https://www.sephora.com/product/rouge-g-customizable-lipstick-case-P429916?icid2=products%20grid:p429916
Smashbox Always On Matte Liquid Lipstick,https://www.sephora.com/product/always-on-matte-liquid-lipstick-P409317?icid2=products%20grid:p409317
Dior Dior Addict Stellar Shine Lipstick,https://www.sephora.com/product/dior-addict-stellar-shine-lipstick-P443319?icid2=products%20grid:p443319
CLINIQUE Almost Lipstick,https://www.sephora.com/product/almost-lipstick-P122751?icid2=products%20grid:p122751
HUDA BEAUTY Demi Matte Cream Liquid Lipstick,https://www.sephora.com/product/demi-matte-cream-lipstick-P54654321?icid2=products%20grid:p54654321
Gucci Rouge à Lèvres Voile Sheer Lipstick,https://www.sephora.com/product/gucci-rouge-agrave-l-egrave-vres-voile-sheer-lipstick-P452737?icid2=products%20grid:p452737
Anastasia Beverly Hills Matte Lipstick,https://www.sephora.com/product/matte-lipstick-P422512?icid2=products%20grid:p422512
Ciaté London Glitter Flip,https://www.sephora.com/product/glitter-flip-P422513?icid2=products%20grid:p422513
Charlotte Tilbury Hot Lips Lipstick 2,https://www.sephora.com/product/hot-lips-lipstick-2-0-P446609?icid2=products%20grid:p446609
Yves Saint Laurent Rouge Volupte Shine Lipstick Love Collector's Edition,https://www.sephora.com/product/yves-saint-laurent-rouge-volupte-shine-lipstick-love-collector-s-edition-P458275?icid2=products%20grid:p458275
Givenchy Le Rouge Lipstick,https://www.sephora.com/product/le-rouge-P377755?icid2=products%20grid:p377755
tarte SEA H2O Lip Gloss,https://www.sephora.com/product/sea-h2o-lip-gloss-P429612?icid2=products%20grid:p429612
Gucci Rouge à Lèvres Satin Lipstick,https://www.sephora.com/product/gucci-rouge-agrave-l-egrave-vres-satin-lipstick-P452736?icid2=products%20grid:p452736
SEPHORA COLLECTION Rouge Lacquer Lipstick,https://www.sephora.com/product/rouge-lacquer-P443336?icid2=products%20grid:p443336
Yves Saint Laurent Rouge Pur Couture Lipstick Love Collector's Edition,https://www.sephora.com/product/yves-saint-laurent-rouge-pur-couture-lipstick-love-collector-s-edition-P458274?icid2=products%20grid:p458274
KVD Vegan Beauty Everlasting Glimmer Veil Liquid Lipstick,https://www.sephora.com/product/everlasting-glimmer-veil-liquid-lipstick-P421282?icid2=products%20grid:p421282
TOM FORD Lip Color Matte Lipstick,https://www.sephora.com/product/lip-color-matte-lipstick-P416222?icid2=products%20grid:p416222
TOM FORD Lip Blush,https://www.sephora.com/product/lip-blush-P443932?icid2=products%20grid:p443932
Charlotte Tilbury Superstar Lips Lipstick,https://www.sephora.com/product/superstar-lips-lipstick-P446610?icid2=products%20grid:p446610
Givenchy Mini Magic Lip Duo Set,https://www.sephora.com/product/le-rouge-perfecto-rouge-interdit-vinyl-duo-botf-P433849?icid2=products%20grid:p433849
TOM FORD Most Wanted Lip Color Lipstick Collection,https://www.sephora.com/product/tom-ford-most-wanted-lip-color-lipstick-collection-P458271?icid2=products%20grid:p458271
Dior Dior Addict Halo Shine Lipstick,https://www.sephora.com/product/dior-dior-addict-stellar-halo-shine-P456597?skuId=2341428&icid2=products%20grid:p456597
Yves Saint Laurent Glossy Stain Lip Color,https://www.sephora.com/product/glossy-stain-lip-gloss-P304003?icid2=products%20grid:p304003
Bite Beauty Mini Nude Lipstick Crayon Duo Set,https://www.sephora.com/product/bite-beauty-nude-lip-crayon-duo-P457658?icid2=products%20grid:p457658
NARS Audacious Lipstick,https://www.sephora.com/product/audacious-lipstick-P387906?skuId=1637123&icid2=products%20grid:p387906
Kiehl's Since 1851 Butterstick Lip Treatment SPF 30,https://www.sephora.com/product/butterstick-lip-treatment-spf-25-P422274?icid2=products%20grid:p422274
Hourglass Confession™ Ultra Slim High Intensity Refillable Lipstick,https://www.sephora.com/product/confession-ultra-slim-high-intensity-refillable-lipstick-P420411?icid2=products%20grid:p420411
Hourglass Unreal™ High Shine Volumizing Lip Gloss,https://www.sephora.com/product/unreal-volumizing-high-shine-lip-gloss-P444425?icid2=products%20grid:p444425
BECCA Cosmetics Ultimate Lipstick Love,https://www.sephora.com/product/ultimate-lipstick-love-P441237?icid2=products%20grid:p441237
Dior Dior Addict Lip Tattoo,https://www.sephora.com/product/lip-tattoo-P419525?icid2=products%20grid:p419525
ILIA Color Block High Impact Lipstick,https://www.sephora.com/product/color-block-high-impact-lipstick-P436270?icid2=products%20grid:p436270
Givenchy Le Rouge Deep Velvet Matte Lipstick,https://www.sephora.com/product/le-rouge-deep-velvet-lipstick-P448881?icid2=products%20grid:p448881
FENTY BEAUTY by Rihanna Two Lil Mattemoiselles,https://www.sephora.com/product/two-lil-mattemoiselles-P33105898?icid2=products%20grid:p33105898
bareMinerals Mineralist Hydra-Smoothing Lipstick,https://www.sephora.com/product/bareminerals-mineralist-hydra-smoothing-lipstick-P455324?icid2=products%20grid:p455324
Dior Dior Addict Lacquer Stick,https://www.sephora.com/product/dior-addict-lacquer-stick-P418225?icid2=products%20grid:p418225
Bobbi Brown Art Stick,https://www.sephora.com/product/art-stick-P385587?icid2=products%20grid:p385587
Laura Mercier Rouge Essentiel Silky Crème Lipstick,https://www.sephora.com/product/rouge-essentiel-silky-creme-lipstick-P443744?icid2=products%20grid:p443744
Bobbi Brown Crushed Liquid Lipstick,https://www.sephora.com/product/crushed-liquid-lip-P439913?icid2=products%20grid:p439913
SEPHORA COLLECTION Melting Lip Clicks Lip Balm,https://www.sephora.com/product/melting-lip-clicks-P432080?icid2=products%20grid:p432080
