product_name,product_link
bareMinerals Blush,https://www.sephora.com/product/bareminerals-blush-P61009?icid2=products%20grid:p61009
rms beauty Lip2Cheek,https://www.sephora.com/product/lip2cheek-P415647?icid2=products%20grid:p415647
NUDESTIX Nudies Bloom All Over Dewy Color,https://www.sephora.com/product/nudies-bloom-all-over-dewy-color-P444609?icid2=products%20grid:p444609
Benefit Cosmetics GALifornia Blush,https://www.sephora.com/product/galifornia-blush-P418014?icid2=products%20grid:p418014
MILK MAKEUP Glow Oil Lip + Cheek,https://www.sephora.com/product/glow-oil-lip-cheek-P445510?icid2=products%20grid:p445510
Benefit Cosmetics Mini Cheek Stars Reunion Tour Palette,https://www.sephora.com/product/benefit-cosmetics-cheek-stars-mini-reunion-tour-mini-brush-bronzer-palette-P456157?icid2=products%20grid:p456157
TOM FORD Cheek Color,https://www.sephora.com/product/cheek-color-P422553?icid2=products%20grid:p422553
SEPHORA COLLECTION Matte Perfection Blush Duos,https://www.sephora.com/product/matte-perfection-blush-duos-P439601?icid2=products%20grid:p439601
CLINIQUE Chubby Stick Cheek Colour Balm,https://www.sephora.com/product/chubby-stick-cheek-colour-balm-P387634?icid2=products%20grid:p387634
"MAKE UP FOR EVER Artist Face Color Highlight, Sculpt and Blush Powder",https://www.sephora.com/product/artist-face-color-highlight-sculpt-blush-powder-P421281?icid2=products%20grid:p421281
bareMinerals BOUNCE & BLUR Blush,https://www.sephora.com/product/bounce-blur-blush-P447767?icid2=products%20grid:p447767
Natasha Denona Mini Bloom Blush,https://www.sephora.com/product/natasha-denona-mini-bloom-blush-P457652?icid2=products%20grid:p457652
Perricone MD No Makeup Blush,https://www.sephora.com/product/no-blush-blush-spf-30-P386467?icid2=products%20grid:p386467
Benefit Cosmetics Dandelion Twinkle Highlighter,https://www.sephora.com/product/dandelion-twinkle-P417320?icid2=products%20grid:p417320
NARS Exposed Cheek Palette,https://www.sephora.com/product/exposed-cheek-palette-P441812?icid2=products%20grid:p441812
NUDESTIX Mini Nudies 3-Piece Kit,https://www.sephora.com/product/mini-nudies-3-piece-kit-P447737?icid2=products%20grid:p447737
Buxom Wanderlust Primer-Infused Blush,https://www.sephora.com/product/wanderlust-primer-infused-blush-P440021?icid2=products%20grid:p440021
Shiseido Minimalist Whipped Powder Blush,https://www.sephora.com/product/minimalist-whippedpowder-blush-P435419?icid2=products%20grid:p435419
Armani Beauty Neo Nude A-Line Liquid Blush,https://www.sephora.com/product/a-blush-professional-liquid-face-blush-P432608?icid2=products%20grid:p432608
Too Faced Sweethearts Perfect Flush Blush,https://www.sephora.com/product/sweethearts-perfect-flush-blush-P377629?icid2=products%20grid:p377629
Too Faced Sweet Peach Papa Don’t Peach Blush,https://www.sephora.com/product/papa-dont-peach-blush-P63984263?icid2=products%20grid:p63984263
Kaja Mochi Minis Bouncy Blendable Highlighter & Blush Duo,https://www.sephora.com/product/mochi-minis-bouncy-blendable-highlighter-blush-duo-P447158?icid2=products%20grid:p447158
Natasha Denona Bloom Blush & Glow Palette,https://www.sephora.com/product/bloom-palette-blush-glow-palette-P441872?icid2=products%20grid:p441872
Kosas Color & Light: Pressed Powder Blush & Highlighter Duo,https://www.sephora.com/product/color-light-pressed-powder-blush-highlighter-duo-P441885?icid2=products%20grid:p441885
Benefit Cosmetics Lovetint Lip & Cheek Stain,https://www.sephora.com/product/love-tint-tinted-lip-cheek-stain-P447374?icid2=products%20grid:p447374
Kaja Cutie Bento Creamy Lip & Cheek Duo,https://www.sephora.com/product/kaja-cutie-bento-creamy-lip-cheek-duo-P459259?icid2=products%20grid:p459259
NARS Blush Duo Mini,https://www.sephora.com/product/blush-duo-mini-P422079?icid2=products%20grid:p422079
SEPHORA COLLECTION Contour Blush Palette,https://www.sephora.com/product/contour-blush-palette-P417988?icid2=products%20grid:p417988
Too Faced Sweet Peach Glow Peach-Infused Highlighting Palette,https://www.sephora.com/product/sweet-peach-glow-peach-infused-highlighting-palette-P62984433?icid2=products%20grid:p62984433
KVD Vegan Beauty Crush - Technicolor Crayon Set,https://www.sephora.com/product/crush-technicolor-crayon-set-P443848?icid2=products%20grid:p443848
SEPHORA COLLECTION Contour Blush Spice Market Blush Palette,https://www.sephora.com/product/contour-blush-spice-market-blush-palette-P427367?icid2=products%20grid:p427367
IT Cosmetics Bye Bye Pores Blush,https://www.sephora.com/product/bye-bye-pores-blush-P441805?icid2=products%20grid:p441805
Ciaté London Dewy Blush,https://www.sephora.com/product/ciate-dewy-lip-cheek-multi-use-gloss-tint-P457464?icid2=products%20grid:p457464
Benefit Cosmetics Sugarbomb Blush Mini,https://www.sephora.com/product/benefit-cosmetics-sugarbomb-blush-mini-P456365?icid2=products%20grid:p456365
Armani Beauty Fluid Sheer Glow Enhancer,https://www.sephora.com/product/fluid-sheer-glow-enhancer-P393402?icid2=products%20grid:p393402
Kaja Mochi Pop Bouncy Blush,https://www.sephora.com/product/mochi-pop-blush-P436156?icid2=products%20grid:p436156
NUDESTIX Intense Matte Lip + Cheek Pencil,https://www.sephora.com/product/intense-matte-lip-cheek-pencil-P405290?icid2=products%20grid:p405290
KEVYN AUCOIN The Neo-Blush,https://www.sephora.com/product/the-neo-blush-P430965?icid2=products%20grid:p430965
NARS Orgasm Illuminating Loose Powder,https://www.sephora.com/product/orgasm-illuminating-loose-powder-P13248978?icid2=products%20grid:p13248978
NUDESTIX Gel Color Lip + Cheek Balm,https://www.sephora.com/product/gel-color-lip-cheek-balm-P408286?icid2=products%20grid:p408286
Benefit Cosmetics Georgia Blush,https://www.sephora.com/product/benefit-cosmetics-georgia-blush-P455326?icid2=products%20grid:p455326
Natasha Denona Mini Blush & Glow,https://www.sephora.com/product/mini-blush-glow-P431875?icid2=products%20grid:p431875
surratt beauty Artistique Blush,https://www.sephora.com/product/artistique-blush-P394167?icid2=products%20grid:p394167
KEVYN AUCOIN The Neo-Bronzer,https://www.sephora.com/product/the-neo-bronzer-P408308?icid2=products%20grid:p408308
Laura Mercier Shimmer Bloc,https://www.sephora.com/product/shimmer-bloc-P154303?icid2=products%20grid:p154303
SEPHORA COLLECTION Color Flush Lip And Cheek Stick Set,https://www.sephora.com/product/sephora-collection-color-flush-lip-cheek-stick-set-P457437?icid2=products%20grid:p457437
Ciaté London Glow-To Illuminating Blush,https://www.sephora.com/product/glow-to-illuminating-blush-highlight-P418830?icid2=products%20grid:p418830
NUDESTIX Nude + Red Hot Lips 3-Piece Mini Set,https://www.sephora.com/product/nude-red-hot-lips-P451168?icid2=products%20grid:p451168
CLINIQUE Soft-Pressed Powder Blusher,https://www.sephora.com/product/soft-pressed-powder-blusher-P122750?icid2=products%20grid:p122750
NUDESTIX Cream Lip + Cheek Pencil,https://www.sephora.com/product/lip-cheek-pencil-P388952?icid2=products%20grid:p388952
Benefit Cosmetics Georgia Blush Mini,https://www.sephora.com/product/benefit-cosmetics-georgia-blush-mini-P456364?icid2=products%20grid:p456364
Jouer Cosmetics Rose Cut Gems Blush & Cheek Topper Palette,https://www.sephora.com/product/rose-cut-gems-blush-cheek-topper-palette-P450053?icid2=products%20grid:p450053
Jouer Cosmetics Rose Gold Blush Bouquet Dual Blush Palette Mini,https://www.sephora.com/product/rose-gold-blush-bouquet-dual-blush-palette-mini-P447156?icid2=products%20grid:p447156
INC.redible For The First Time Bounce Blush,https://www.sephora.com/product/for-first-time-bounce-blush-P442249?icid2=products%20grid:p442249
rms beauty Pressed Blush,https://www.sephora.com/product/pressed-blush-P447161?icid2=products%20grid:p447161
Benefit Cosmetics Dallas Blush Mini,https://www.sephora.com/product/benefit-cosmetics-dallas-blush-mini-P456366?icid2=products%20grid:p456366
Lancôme Le Monochromatique Eyeshadow and Highlighter,https://www.sephora.com/product/le-monochromatique-P442283?icid2=products%20grid:p442283
NARS Mosaic Multi-Shade Highlighter & Blush,https://www.sephora.com/product/mosaic-multi-shade-highlighter-blush-P441628?icid2=products%20grid:p441628
Natasha Denona Blush Duo,https://www.sephora.com/product/blush-duo-P417338?icid2=products%20grid:p417338
TOM FORD Sheer Highlighting Duo,https://www.sephora.com/product/sheer-highlighting-duo-P417366?icid2=products%20grid:p417366
stila Convertible Color,https://www.sephora.com/product/convertible-color-P8426?skuId=353508&icid2=products%20grid:p8426
NUDESTIX Love is Louder Lip + Cheek Pencil,https://www.sephora.com/product/love-is-louder-lip-cheek-pencil-P407080?icid2=products%20grid:p407080
Shiseido Inner Glow Cheek Powder Blush & Highlighter,https://www.sephora.com/product/innerglow-cheekpowder-P435411?icid2=products%20grid:p435411
Melt Cosmetics Blush,https://www.sephora.com/product/blush-P444546?icid2=products%20grid:p444546
Melt Cosmetics Blushlight,https://www.sephora.com/product/blushlight-P444547?icid2=products%20grid:p444547
lilah b. Divine Duo™ Lip & Cheek,https://www.sephora.com/product/divine-duo-lip-cheek-P421444?icid2=products%20grid:p421444
Antonym Organic Certified Highlighting Blush,https://www.sephora.com/product/organic-certified-highlighting-blush-P421619?icid2=products%20grid:p421619
KEVYN AUCOIN The Pure Powder Glow Blush,https://www.sephora.com/product/the-pure-powder-glow-P407919?icid2=products%20grid:p407919
